Time,O,H,L,C
1458,12361.4,12361.72,12352.59,12353.87
1459,12354.27,12354.27,12352.59,12352.91
1500,12352.83,12358.44,12352.43,12358.44
1501,12358.76,12360.52,12358.76,12360.12
1502,12360.36,12360.36,12358.12,12359.32
1503,12359.24,12359.24,12357.24,12358.2
1504,12357.96,12358.84,12356.36,12356.52
1505,12356.44,12358.04,12355.39,12357.72
1506,12357.8,12359.24,12357.4,12358.84
1507,12358.52,12358.52,12357,12357.32
1508,12357.64,12357.88,12355.96,12355.96
1509,12356.12,12356.52,12355.31,12355.39
1510,12355.31,12355.31,12350.67,12351.47
1511,12351.39,12352.11,12346.5,12346.5
1512,12346.26,12347.54,12345.06,12345.38
1513,12345.46,12349.39,12345.46,12348.18
1514,12348.02,12348.02,12346.98,12347.54
1515,12347.46,12351.31,12347.46,12351.31
1516,12351.39,12354.51,12351.15,12354.51
1517,12354.67,12356.44,12354.67,12354.99
1518,12355.07,12355.47,12354.27,12354.99
1519,12354.83,12356.52,12354.83,12355.55
1520,12355.63,12358.12,12355.63,12357.4
1521,12357.64,12359.16,12357.56,12359.16
1522,12359.24,12360.36,12359.24,12359.8
1523,12359.88,12360.6,12359.4,12360.36
1524,12360.6,12361.24,12360.2,12360.76
1525,12360.6,12361.4,12360.52,12360.84
1526,12360.76,12360.76,12359.32,12359.8
1527,12359.88,12359.88,12358.2,12358.2
1528,12358.44,12358.44,12357.08,12357.32
1529,12357.4,12357.8,12357.16,12357.32
1530,12357.24,12358.04,12352.99,12353.07
1531,12353.31,12353.31,12346.18,12346.34
1532,12346.42,12347.22,12343.94,12343.94
1533,12344.18,12345.78,12344.18,12345.62
1534,12345.7,12346.42,12345.22,12345.78
1535,12345.54,12345.54,12344.34,12344.9
1536,12344.58,12344.66,12342.82,12344.5
1537,12344.42,12344.74,12343.46,12344.74
1538,12344.26,12344.42,12342.9,12343.38
1539,12343.22,12343.22,12336.17,12336.41
1540,12336.65,12338.49,12335.37,12338.09
1541,12338.17,12349.87,12338.17,12349.87
1542,12350.11,12350.99,12349.31,12350.11
1543,12350.27,12352.11,12349.55,12352.11
1544,12352.43,12356.36,12352.43,12353.95
1545,12354.35,12354.35,12348.91,12349.15
1546,12348.66,12349.23,12348.1,12349.07
1547,12349.39,12352.51,12349.31,12352.43
1548,12352.91,12355.88,12352.75,12355.79
1549,12356.12,12359.4,12356.12,12359.4
1550,12359.48,12362.2,12359,12360.44
1551,12360.04,12360.04,12355.55,12355.55
1552,12355.47,12355.47,12350.91,12353.71
1553,12353.87,12355.55,12353.87,12354.27
1554,12354.75,12359.08,12352.19,12352.27
1555,12352.35,12353.47,12345.78,12347.22
1556,12345.94,12346.98,12342.18,12342.18
1557,12342.58,12343.94,12341.29,12341.62
1558,12341.86,12344.74,12340.97,12344.74
1559,12345.22,12348.58,12344.26,12348.26
1600,12348.75,12352.75,12346.9,12351.47
1601,12351.15,12352.19,12351.07,12352.19
1602,12352.27,12353.95,12352.27,12353.95
1603,12354.11,12354.11,12354.03,12354.11
1604,12353.95,12354.35,12353.95,12354.35
