EUR/GBP,Close,High,Low
09/11/2011,0.8508,0.8599,0.8501
10/11/2011,0.8538,0.8558,0.8485
11/11/2011,0.8554,0.8587,0.8529
14/11/2011,0.8569,0.8603,0.8557
15/11/2011,0.8555,0.8575,0.8519
16/11/2011,0.8561,0.8585,0.852
17/11/2011,0.8549,0.8577,0.8536
18/11/2011,0.8561,0.8586,0.8518
21/11/2011,0.8625,0.8641,0.8555
22/11/2011,0.8639,0.8665,0.8618
23/11/2011,0.8594,0.8648,0.8588
24/11/2011,0.8609,0.8623,0.8585
25/11/2011,0.8563,0.8619,0.8546
28/11/2011,0.858,0.8609,0.8569
29/11/2011,0.8538,0.861,0.8528
30/11/2011,0.8559,0.8591,0.8517
01/12/2011,0.858,0.8601,0.8559
02/12/2011,0.8591,0.8625,0.8574
05/12/2011,0.8563,0.8606,0.8558
06/12/2011,0.8591,0.8603,0.8539
07/12/2011,0.8538,0.8614,0.8512
08/12/2011,0.8529,0.8553,0.8495
09/12/2011,0.8536,0.8563,0.8516
12/12/2011,0.8463,0.8554,0.8452
13/12/2011,0.8418,0.8482,0.8403
14/12/2011,0.8394,0.8426,0.8372
15/12/2011,0.8392,0.8425,0.8375
16/12/2011,0.8396,0.8413,0.8379
19/12/2011,0.8384,0.8416,0.8378
20/12/2011,0.8351,0.839,0.834
21/12/2011,0.8319,0.8375,0.8304
22/12/2011,0.8321,0.8347,0.8305
23/12/2011,0.836,0.8366,0.8319
26/12/2011,0.8354,0.8373,0.8347
27/12/2011,0.8338,0.8373,0.8335
28/12/2011,0.8373,0.8377,0.8332
29/12/2011,0.8406,0.8421,0.8351
30/12/2011,0.8332,0.841,0.8329
02/01/2012,0.8336,0.8365,0.8333
03/01/2012,0.8342,0.8373,0.8331
04/01/2012,0.8286,0.8348,0.8265
05/01/2012,0.8252,0.829,0.8249
06/01/2012,0.8247,0.8267,0.8239
09/01/2012,0.8256,0.8278,0.8222
10/01/2012,0.8252,0.8288,0.8247
11/01/2012,0.8287,0.8293,0.8241
12/01/2012,0.836,0.8374,0.829
