"Date","Open","High","Low","Close","a","b"
"25/06/2008",13820.78,13833.23,13635.68,13829.92,13834.0141793224,"ETS(A,N,N)"
"26/06/2008",13845.41,13950.56,13798.05,13822.32,13824.2079573994,"ETS(A,N,N)"
"27/06/2008",13605.26,13605.56,13453.35,13544.36,13588.9535361515,"ETS(A,N,N)"
"30/06/2008",13584.51,13598.48,13454.28,13481.38,13494.5060646582,"ETS(A,N,N)"
"01/07/2008",13514.86,13576.41,13448.35,13463.2,13468.3180919453,"ETS(M,N,N)"
"02/07/2008",13489.87,13489.87,13247.05,13286.37,13310.8259349723,"ETS(M,N,N)"
"03/07/2008",13161.78,13326.95,13118.89,13265.4,13270.9578021325,"ETS(M,N,N)"
"04/07/2008",13285.49,13288.55,13135.46,13237.89,13242.029614062,"ETS(M,N,N)"
"07/07/2008",13212.8,13409.3,13169.55,13360.04,13349.8003201255,"ETS(M,N,N)"
"08/07/2008",13286.5,13294.97,12984.54,13033.1,13065.7071004412,"ETS(M,N,N)"
"09/07/2008",13169.89,13284.65,13038.77,13052.13,13051.8517391277,"ETS(M,N,N)"
"10/07/2008",12934.31,13139.85,12930.32,13067.21,13065.6119366767,"ETS(M,N,N)"
"11/07/2008",13063.5,13164.1,12918.22,13039.69,13043.3655311848,"ETS(M,N,N)"
"14/07/2008",13022.29,13185.9,12969.93,13010.16,13014.4203639729,"ETS(M,N,N)"
"15/07/2008",12902.13,12902.13,12715.81,12754.56,12772.7520785923,"ETS(M,N,N)"
"16/07/2008",12725.12,12815.4,12671.34,12760.8,12761.0937427361,"ETS(M,N,N)"
"17/07/2008",12889.8,12929.74,12852.93,12887.95,12883.1237601407,"ETS(M,N,N)"
"18/07/2008",12976.22,12999.64,12762.33,12803.7,12803.7107618496,"ETS(M,N,N)"
"22/07/2008",12944.56,13184.96,12921.02,13184.96,13148.4520971357,"ETS(M,N,N)"
"23/07/2008",13259.65,13388.63,13238.55,13312.93,13312.1521003594,"ETS(M,N,N)"
"24/07/2008",13411.28,13603.31,13393.57,13603.31,13603.280924629,"ETS(M,N,N)"
"25/07/2008",13452.37,13469.83,13324.22,13334.76,13334.7873215647,"ETS(M,N,N)"
"28/07/2008",13407.36,13468.94,13327.12,13353.78,13353.6204185022,"ETS(M,N,N)"
"29/07/2008",13220.33,13220.33,13018.22,13159.45,13161.7951962394,"ETS(A,N,N)"
"30/07/2008",13267.37,13372.28,13264.08,13367.79,13358.703722875,"ETS(A,N,N)"
"31/07/2008",13410.4,13467.67,13256.38,13376.81,13376.5304478966,"ETS(M,N,N)"
"01/08/2008",13276.57,13294.17,13039.21,13094.59,13118.7409903141,"ETS(A,N,N)"
"04/08/2008",13083.28,13113.94,12910.17,12933.18,12942.193975162,"ETS(A,N,N)"
