"Date","Open","High","Low","Close","a"
"08/04/2002",11321.28,11430.03,11265.18,11352.89,11248.1993548387
"09/04/2002",11337.49,11363.2,11113.08,11114.49,11272.6416129032
"10/04/2002",11089.13,11293.17,11052.7,11218.58,11302.3870967742
"11/04/2002",11291.38,11320.67,11147.27,11147.27,11332.8593548387
"12/04/2002",11069.84,11122.77,10896.12,10962.98,11345.4364516129
"15/04/2002",11013.67,11138.7,10941.81,11137.3,11363.1612903226
"16/04/2002",11160.91,11346.66,11141.27,11346.66,11380.4083870968
"17/04/2002",11422.75,11544.83,11403.79,11543.71,11383.4241935484
"18/04/2002",11499.78,11635.98,11485.09,11575.73,11390.7558064516
"19/04/2002",11488.5,11525.88,11386.72,11512.01,11395.7067741935
"22/04/2002",11555.08,11765.05,11555.08,11721.64,11398.0712903226
"23/04/2002",11633.18,11812.99,11576.71,11736.83,11393.2661290323
"24/04/2002",11749.32,11808.25,11663.71,11672.88,11385.3170967742
"25/04/2002",11691.73,11708.01,11583.07,11648.72,11386.6522580645
"26/04/2002",11681.8,11685.08,11464.59,11541.39,11390.7193548387
"30/04/2002",11532.57,11548.78,11440.66,11492.54,11388.2587096774
"01/05/2002",11540.09,11591.49,11528.29,11552.79,11385.1870967742
"02/05/2002",11609.69,11609.69,11518.57,11551.01,11386.8848387097
"07/05/2002",11500.13,11508.58,11250.86,11316.04,11371.5048387097
"08/05/2002",11356.54,11581.41,11356.54,11520.75,11371.3103225806
"09/05/2002",11633.8,11727.52,11620.52,11633.3,11380.6077419355
"10/05/2002",11534.73,11587.43,11523.84,11531.11,11389.3180645161
"13/05/2002",11473.93,11473.93,11309.48,11336.95,11393.4803225806
"14/05/2002",11451.6,11507.66,11336.81,11356.19,11394.5290322581
"15/05/2002",11486.06,11693.91,11486.06,11642.97,11404.524516129
"16/05/2002",11671.42,11747.35,11579.12,11738.69,11427.5487096774
"17/05/2002",11820.33,11926.9,11817.65,11847.32,11453.9558064516
"20/05/2002",11887.8,11942.91,11836.22,11856.54,11474.9896774194
"21/05/2002",11803.74,11824.73,11765.21,11801.16,11487.9074193548
"22/05/2002",11767.57,11963.23,11767,11961.98,11506.7067741935
