Date,Open,High,Low,Close,moving_average(att1),change(att1),change(att1)-1,change(att1)-2,change(att1)-3,moving_average(att1)-1,moving_average(att1)-2,moving_average(att1)-3,moving_average(att1)-4,att1-1,att1-2,att1-3,id,att1,Pred,PrevClose,Diff,ActDiff
05/04/2013,12880.82,13225.62,12831.1,12833.64,12610.126666666669,199.09999999999854,272.34000000000015,358.77000000000044,-131.59000000000015,12333.39,12166.883333333333,12178.786666666667,12289.63,12634.54,12362.2,12003.43,800.0,12833.64,12441.043333333333,12634.54,193.4966666666678,-199.09999999999854
08/04/2013,13082.61,13225.22,13080.29,13192.59,12886.923333333334,358.9500000000007,199.09999999999854,272.34000000000015,358.77000000000044,12610.126666666669,12333.39,12166.883333333333,12178.786666666667,12833.64,12634.54,12362.2,801.0,13192.59,12651.732666666667,12833.64,181.90733333333264,-358.9500000000007
09/04/2013,13309.13,13331.39,13151.73,13192.35,13072.86,-0.23999999999978172,358.9500000000007,199.09999999999854,272.34000000000015,12886.923333333334,12610.126666666669,12333.39,12166.883333333333,13192.59,12833.64,12634.54,802.0,13192.35,12901.136666666667,13192.59,291.4533333333329,0.23999999999978172
10/04/2013,13177.31,13325.15,13177.31,13288.13,13224.356666666667,95.77999999999884,-0.23999999999978172,358.9500000000007,199.09999999999854,13072.86,12886.923333333334,12610.126666666669,12333.39,13192.35,13192.59,12833.64,803.0,13288.13,13110.018,13192.35,82.33200000000033,-95.77999999999884
11/04/2013,13444.95,13549.16,13384.11,13549.16,13343.213333333333,261.03000000000065,95.77999999999884,-0.23999999999978172,358.9500000000007,13224.356666666667,13072.86,12886.923333333334,12610.126666666669,13288.13,13192.35,13192.59,804.0,13549.16,13332.386666666669,13288.13,-44.256666666669844,-261.03000000000065
12/04/2013,13568.25,13568.25,13402.86,13485.14,13440.81,-64.02000000000044,261.03000000000065,95.77999999999884,-0.23999999999978172,13343.213333333333,13224.356666666667,13072.86,12886.923333333334,13549.16,13288.13,13192.35,805.0,13485.14,13436.234666666665,13549.16,112.92533333333449,64.02000000000044
15/04/2013,13345.86,13408.29,13257.86,13275.66,13436.653333333334,-209.47999999999956,-64.02000000000044,261.03000000000065,95.77999999999884,13440.81,13343.213333333333,13224.356666666667,13072.86,13485.14,13549.16,13288.13,806.0,13275.66,13303.858,13485.14,181.28199999999924,209.47999999999956
16/04/2013,13023.91,13312.23,13004.46,13221.44,13327.413333333332,-54.219999999999345,-209.47999999999956,-64.02000000000044,261.03000000000065,13436.653333333334,13440.81,13343.213333333333,13224.356666666667,13275.66,13485.14,13549.16,807.0,13221.44,13234.996000000003,13275.66,40.66399999999703,54.219999999999345
17/04/2013,13330.5,13397.5,13318.69,13382.89,13293.33,161.4499999999989,-54.219999999999345,-209.47999999999956,-64.02000000000044,13327.413333333332,13436.653333333334,13440.81,13343.213333333333,13221.44,13275.66,13485.14,808.0,13382.89,13278.997333333336,13221.44,-57.55733333333592,-161.4499999999989
18/04/2013,13272.22,13377.74,13200.85,13220.07,13274.800000000001,-162.8199999999997,161.4499999999989,-54.219999999999345,-209.47999999999956,13293.33,13327.413333333332,13436.653333333334,13440.81,13382.89,13221.44,13275.66,809.0,13220.07,13220.852,13382.89,162.03799999999865,162.8199999999997
