Date,Open,High,Low,Close,change(att1)-1,change(att1)-2,change(att1)-3,moving_average(att1)-1,moving_average(att1)-2,moving_average(att1)-3,moving_average(att1)-4,att1-1,att1-2,att1-3,id,UD,pred,pl
26/10/2010,3854.58,3866.35,3818.95,3852.66,1.4600000000000364,-9.730000000000018,50.11999999999989,3872.27,3858.3199999999997,3837.8633333333332,3823.273333333333,3870.0,3868.54,3878.27,2763.0,0.0,0.4990338723173009,1.9200000000000728
27/10/2010,3836.12,3867.89,3811.0,3815.77,-17.340000000000146,1.4600000000000364,-9.730000000000018,3863.7333333333336,3872.27,3858.3199999999997,3837.8633333333332,3852.66,3870.0,3868.54,2764.0,0.0,0.5027686653990786,-20.34999999999991
28/10/2010,3838.13,3862.97,3821.88,3834.84,-36.88999999999987,-17.340000000000146,1.4600000000000364,3846.1433333333334,3863.7333333333336,3872.27,3858.3199999999997,3815.77,3852.66,3870.0,2765.0,0.0,0.4964561485268675,3.2899999999999636
29/10/2010,3828.71,3857.58,3807.8,3833.5,19.070000000000164,-36.88999999999987,-17.340000000000146,3834.4233333333336,3846.1433333333334,3863.7333333333336,3872.27,3834.84,3815.77,3852.66,2766.0,1.0,0.5063916652033367,4.789999999999964
01/11/2010,3865.04,3873.77,3812.37,3841.11,-1.3400000000001455,19.070000000000164,-36.88999999999987,3828.036666666667,3834.4233333333336,3846.1433333333334,3863.7333333333336,3833.5,3834.84,3815.77,2767.0,0.0,0.5078222551135712,-23.929999999999836
02/11/2010,3830.4,3879.35,3830.14,3865.72,7.610000000000127,-1.3400000000001455,19.070000000000164,3836.4833333333336,3828.036666666667,3834.4233333333336,3846.1433333333334,3841.11,3833.5,3834.84,2768.0,1.0,0.49946705494795385,-35.31999999999971
03/11/2010,3880.08,3890.9,3834.68,3842.94,24.609999999999673,7.610000000000127,-1.3400000000001455,3846.7766666666666,3836.4833333333336,3828.036666666667,3834.4233333333336,3865.72,3841.11,3833.5,2769.0,0.0,0.5063710431282553,-37.13999999999987
04/11/2010,3885.17,3931.76,3885.17,3916.78,-22.779999999999745,24.609999999999673,7.610000000000127,3849.9233333333336,3846.7766666666666,3836.4833333333336,3828.036666666667,3842.94,3865.72,3841.11,2770.0,1.0,0.4976455929811161,-31.610000000000127
05/11/2010,3928.01,3937.64,3893.93,3916.73,73.84000000000015,-22.779999999999745,24.609999999999673,3875.146666666667,3849.9233333333336,3846.7766666666666,3836.4833333333336,3916.78,3842.94,3865.72,2771.0,0.0,0.4780975343461815,11.2800000000002
08/11/2010,3915.34,3919.86,3896.7,3913.7,-0.0500000000001819,73.84000000000015,-22.779999999999745,3892.15,3875.146666666667,3849.9233333333336,3846.7766666666666,3916.73,3916.78,3842.94,2772.0,0.0,0.4984129540551274,1.6400000000003274
09/11/2010,3903.85,3961.7,3902.64,3945.71,-3.0300000000002,-0.0500000000001819,73.84000000000015,3915.736666666666,3892.15,3875.146666666667,3849.9233333333336,3913.7,3916.73,3916.78,2773.0,1.0,0.4763001031534637,-41.86000000000013
10/11/2010,3923.25,3932.67,3869.2,3888.45,32.01000000000022,-3.0300000000002,-0.0500000000001819,3925.3799999999997,3915.736666666666,3892.15,3875.146666666667,3945.71,3913.7,3916.73,2774.0,0.0,0.5014244611497158,-34.80000000000018
11/11/2010,3900.83,3903.2,3848.1,3867.35,-57.26000000000022,32.01000000000022,-3.0300000000002,3915.9533333333334,3925.3799999999997,3915.736666666666,3892.15,3888.45,3945.71,3913.7,2775.0,0.0,0.49121488588887186,33.48000000000002
12/11/2010,3796.61,3853.31,3769.59,3831.12,-21.09999999999991,-57.26000000000022,32.01000000000022,3900.5033333333336,3915.9533333333334,3925.3799999999997,3915.736666666666,3867.35,3888.45,3945.71,2776.0,1.0,0.5038269014543095,34.50999999999976
15/11/2010,3810.24,3875.63,3797.75,3864.24,-36.23000000000002,-21.09999999999991,-57.26000000000022,3862.306666666666,3900.5033333333336,3915.9533333333334,3925.3799999999997,3831.12,3867.35,3888.45,2777.0,1.0,0.5276420179560812,54.0
16/11/2010,3836.73,3842.12,3762.47,3762.47,33.11999999999989,-36.23000000000002,-21.09999999999991,3854.236666666666,3862.306666666666,3900.5033333333336,3915.9533333333334,3864.24,3831.12,3867.35,2778.0,0.0,0.48871585309396437,74.26000000000022
17/11/2010,3753.76,3798.73,3753.06,3792.35,-101.76999999999998,33.11999999999989,-36.23000000000002,3819.2766666666666,3854.236666666666,3862.306666666666,3900.5033333333336,3762.47,3864.24,3831.12,2779.0,1.0,0.5516956053542996,38.58999999999969
18/11/2010,3823.53,3873.58,3822.15,3867.97,29.88000000000011,-101.76999999999998,33.11999999999989,3806.353333333333,3819.2766666666666,3854.236666666666,3862.306666666666,3792.35,3762.47,3864.24,2780.0,1.0,0.49996393089774216,-44.4399999999996
19/11/2010,3871.5,3871.5,3827.03,3860.16,75.61999999999989,29.88000000000011,-101.76999999999998,3807.5966666666664,3806.353333333333,3819.2766666666666,3854.236666666666,3867.97,3792.35,3762.47,2781.0,0.0,0.5144653494165903,-11.340000000000146
22/11/2010,3892.65,3896.07,3812.48,3818.89,-7.809999999999945,75.61999999999989,29.88000000000011,3840.16,3807.5966666666664,3806.353333333333,3819.2766666666666,3860.16,3867.97,3792.35,2782.0,0.0,0.47729982807361004,73.76000000000022
23/11/2010,3792.14,3803.86,3724.42,3724.42,-41.26999999999998,-7.809999999999945,75.61999999999989,3849.006666666666,3840.16,3807.5966666666664,3806.353333333333,3818.89,3860.16,3867.97,2783.0,0.0,0.5280451505843642,-67.7199999999998
24/11/2010,3738.47,3760.78,3703.72,3747.61,-94.4699999999998,-41.26999999999998,-7.809999999999945,3801.1566666666663,3849.006666666666,3840.16,3807.5966666666664,3724.42,3818.89,3860.16,2784.0,1.0,0.5249626832607257,9.140000000000327
25/11/2010,3752.42,3767.69,3730.04,3760.42,23.190000000000055,-94.4699999999998,-41.26999999999998,3763.64,3801.1566666666663,3849.006666666666,3840.16,3747.61,3724.42,3818.89,2785.0,1.0,0.4893138440094251,-8.0
26/11/2010,3728.99,3743.98,3687.43,3728.65,12.809999999999945,23.190000000000055,-94.4699999999998,3744.15,3763.64,3801.1566666666663,3849.006666666666,3760.42,3747.61,3724.42,2786.0,0.0,0.5198566127792503,-0.33999999999969077
29/11/2010,3748.1,3773.9,3636.96,3636.96,-31.769999999999982,12.809999999999945,23.190000000000055,3745.56,3744.15,3763.64,3801.1566666666663,3728.65,3760.42,3747.61,2787.0,0.0,0.5145366012273138,-111.13999999999987
30/11/2010,3643.63,3656.81,3591.78,3610.44,-91.69000000000005,-31.769999999999982,12.809999999999945,3708.6766666666663,3745.56,3744.15,3763.64,3636.96,3728.65,3760.42,2788.0,0.0,0.5566855632759804,-33.190000000000055
01/12/2010,3634.61,3674.96,3620.64,3669.29,-26.519999999999982,-91.69000000000005,-31.769999999999982,3658.683333333334,3708.6766666666663,3745.56,3744.15,3610.44,3636.96,3728.65,2789.0,1.0,0.5179303004111251,34.679999999999836
02/12/2010,3695.41,3754.82,3650.03,3747.04,58.84999999999991,-26.519999999999982,-91.69000000000005,3638.896666666666,3658.683333333334,3708.6766666666663,3745.56,3669.29,3610.44,3636.96,2790.0,1.0,0.5056374814985398,51.63000000000011
03/12/2010,3744.24,3775.75,3721.38,3750.55,77.75,58.84999999999991,-26.519999999999982,3675.59,3638.896666666666,3658.683333333334,3708.6766666666663,3747.04,3669.29,3610.44,2791.0,1.0,0.4904752003748065,-6.3100000000004
06/12/2010,3758.58,3763.4,3723.16,3749.23,3.5100000000002183,77.75,58.84999999999991,3722.2933333333335,3675.59,3638.896666666666,3658.683333333334,3750.55,3747.04,3669.29,2792.0,0.0,0.5091889564341976,-9.349999999999909
07/12/2010,3759.59,3835.06,3758.91,3810.5,-1.3200000000001637,3.5100000000002183,77.75,3748.94,3722.2933333333335,3675.59,3638.896666666666,3749.23,3750.55,3747.04,2793.0,1.0,0.4940657529648407,-50.909999999999854
08/12/2010,3790.48,3857.86,3784.38,3831.98,61.26999999999998,-1.3200000000001637,3.5100000000002183,3770.0933333333337,3748.94,3722.2933333333335,3675.59,3810.5,3749.23,3750.55,2794.0,1.0,0.46855755289375534,-41.5
09/12/2010,3857.69,3867.34,3836.83,3858.05,21.480000000000018,61.26999999999998,-1.3200000000001637,3797.236666666666,3770.0933333333337,3748.94,3722.2933333333335,3831.98,3810.5,3749.23,2795.0,1.0,0.4670977002818866,-0.36000000000012733
