Date,Open,High,Low,Close,change(att1)-1,change(att1)-2,change(att1)-3,moving_average(att1)-1,moving_average(att1)-2,moving_average(att1)-3,moving_average(att1)-4,att1-1,att1-2,att1-3,id,att1,prediction(att1)
11/05/2000,17605.65,17605.65,16779.42,16882.46,-143.0699999999997,-355.41999999999825,-239.40000000000146,17915.323333333334,18161.286666666667,18347.466666666667,18272.046666666665,17701.47,17844.54,18199.96,87.0,16882.46,17539.008096231933
12/05/2000,16963.87,17362.2,16963.87,17357.86,-819.010000000002,-143.0699999999997,-355.41999999999825,17476.156666666666,17915.323333333334,18161.286666666667,18347.466666666667,16882.46,17701.47,17844.54,88.0,17357.86,16760.466835291398
15/05/2000,17396.45,17396.45,17192.71,17313.69,475.40000000000146,-819.010000000002,-143.0699999999997,17313.93,17476.156666666666,17915.323333333334,18161.286666666667,17357.86,16882.46,17701.47,89.0,17313.69,17122.043792188182
16/05/2000,17342.84,17558.51,17283.52,17551.25,-44.17000000000189,475.40000000000146,-819.010000000002,17184.67,17313.93,17476.156666666666,17915.323333333334,17313.69,17357.86,16882.46,90.0,17551.25,17196.395367739966
17/05/2000,17588.81,17691.39,17348.88,17404.03,237.5600000000013,-44.17000000000189,475.40000000000146,17407.600000000002,17184.67,17313.93,17476.156666666666,17551.25,17313.69,17357.86,91.0,17404.03,17333.096395994336
18/05/2000,17365.09,17365.09,16971.82,17031.63,-147.22000000000116,237.5600000000013,-44.17000000000189,17422.99,17407.600000000002,17184.67,17313.93,17404.03,17551.25,17313.69,92.0,17031.63,17246.38280632215
19/05/2000,16960.29,16960.29,16572.05,16858.17,-372.3999999999978,-147.22000000000116,237.5600000000013,17328.97,17422.99,17407.600000000002,17184.67,17031.63,17404.03,17551.25,93.0,16858.17,16858.740256014557
22/05/2000,16802.66,16802.66,16174.4,16386.01,-173.46000000000276,-372.3999999999978,-147.22000000000116,17097.943333333333,17328.97,17422.99,17407.600000000002,16858.17,17031.63,17404.03,94.0,16386.01,16683.21287767693
23/05/2000,16345.26,16493.7,16169.93,16318.73,-472.15999999999985,-173.46000000000276,-372.3999999999978,16758.603333333333,17097.943333333333,17328.97,17422.99,16386.01,16858.17,17031.63,95.0,16318.73,16246.86036054777
24/05/2000,16237.88,16261.33,15876.34,16044.44,-67.27999999999884,-472.15999999999985,-173.46000000000276,16520.969999999998,16758.603333333333,17097.943333333333,17328.97,16318.73,16386.01,16858.17,96.0,16044.44,16116.478767986202
25/05/2000,16090.36,16374.06,16090.36,16247.82,-274.28999999999905,-67.27999999999884,-472.15999999999985,16249.726666666667,16520.969999999998,16758.603333333333,17097.943333333333,16044.44,16318.73,16386.01,97.0,16247.82,15884.461176255734
26/05/2000,16219.02,16219.02,15870.25,16008.14,203.3799999999992,-274.28999999999905,-67.27999999999884,16203.663333333332,16249.726666666667,16520.969999999998,16758.603333333333,16247.82,16044.44,16318.73,98.0,16008.14,16039.297327359951
29/05/2000,16028.76,16245.44,16028.76,16245.44,-239.6800000000003,203.3799999999992,-274.28999999999905,16100.133333333333,16203.663333333332,16249.726666666667,16520.969999999998,16008.14,16247.82,16044.44,99.0,16245.44,15843.884712327797
30/05/2000,16275.96,16485.54,16210.04,16228.9,237.3000000000011,-239.6800000000003,203.3799999999992,16167.133333333333,16100.133333333333,16203.663333333332,16249.726666666667,16245.44,16008.14,16247.82,100.0,16228.9,16037.46567643535
31/05/2000,16274.14,16538.67,16224.06,16332.45,-16.540000000000873,237.3000000000011,-239.6800000000003,16160.826666666668,16167.133333333333,16100.133333333333,16203.663333333332,16228.9,16245.44,16008.14,101.0,16332.45,16069.062450454545
01/06/2000,16320.08,16694.3,16320.08,16694.3,103.55000000000109,-16.540000000000873,237.3000000000011,16268.93,16160.826666666668,16167.133333333333,16100.133333333333,16332.45,16228.9,16245.44,102.0,16694.3,16145.096778553945
02/06/2000,16682.25,16941.42,16682.25,16800.06,361.84999999999854,103.55000000000109,-16.540000000000873,16418.55,16268.93,16160.826666666668,16167.133333333333,16694.3,16332.45,16228.9,103.0,16800.06,16528.479678988962
05/06/2000,16842.04,17261.87,16842.04,17201.79,105.76000000000204,361.84999999999854,103.55000000000109,16608.936666666665,16418.55,16268.93,16160.826666666668,16800.06,16694.3,16332.45,104.0,17201.79,16651.600705641602
06/06/2000,17163.39,17207.15,17064.92,17170.08,401.72999999999956,105.76000000000204,361.84999999999854,16898.716666666667,16608.936666666665,16418.55,16268.93,17201.79,16800.06,16694.3,105.0,17170.08,17041.822187797236
07/06/2000,17134.14,17206.98,17019.25,17144.96,-31.709999999999127,401.72999999999956,105.76000000000204,17057.31,16898.716666666667,16608.936666666665,16418.55,17170.08,17201.79,16800.06,106.0,17144.96,17038.659266785082
08/06/2000,17177.45,17250.83,16979.3,17004.34,-25.12000000000262,-31.709999999999127,401.72999999999956,17172.27666666667,17057.31,16898.716666666667,16608.936666666665,17144.96,17170.08,17201.79,107.0,17004.34,16971.72239256913
09/06/2000,17004.72,17004.72,16785.77,16861.91,-140.61999999999898,-25.12000000000262,-31.709999999999127,17106.460000000003,17172.27666666667,17057.31,16898.716666666667,17004.34,17144.96,17170.08,108.0,16861.91,16852.42432764321
12/06/2000,16876.68,17018.64,16791.87,16980.61,-142.4300000000003,-140.61999999999898,-25.12000000000262,17003.736666666668,17106.460000000003,17172.27666666667,17057.31,16861.91,17004.34,17144.96,109.0,16980.61,16697.01016947304
13/06/2000,16950.93,16950.93,16768.86,16914.95,118.70000000000073,-142.4300000000003,-140.61999999999898,16948.953333333335,17003.736666666668,17106.460000000003,17172.27666666667,16980.61,16861.91,17004.34,110.0,16914.95,16805.399317727963
14/06/2000,16920.21,16920.21,16477.98,16654.42,-65.65999999999985,118.70000000000073,-142.4300000000003,16919.156666666666,16948.953333333335,17003.736666666668,17106.460000000003,16914.95,16980.61,16861.91,111.0,16654.42,16752.684403844407
15/06/2000,16635.24,16635.24,16334.96,16338.7,-260.5300000000025,-65.65999999999985,118.70000000000073,16849.993333333332,16919.156666666666,16948.953333333335,17003.736666666668,16654.42,16914.95,16980.61,112.0,16338.7,16469.472453656686
16/06/2000,16358.71,16480.08,16289.92,16318.31,-315.7199999999975,-260.5300000000025,-65.65999999999985,16636.02333333333,16849.993333333332,16919.156666666666,16948.953333333335,16338.7,16654.42,16914.95,113.0,16318.31,16163.76587015259
19/06/2000,16382.11,16627.54,16359.96,16591.35,-20.390000000001237,-315.7199999999975,-260.5300000000025,16437.14333333333,16636.02333333333,16849.993333333332,16919.156666666666,16318.31,16338.7,16654.42,114.0,16591.35,16141.195644636919
20/06/2000,16645.99,16907.55,16645.99,16907.55,273.03999999999905,-20.390000000001237,-315.7199999999975,16416.12,16437.14333333333,16636.02333333333,16849.993333333332,16591.35,16318.31,16338.7,115.0,16907.55,16414.580731332546
21/06/2000,16922.25,17212.38,16854.21,17210.08,316.2000000000007,273.03999999999905,-20.390000000001237,16605.736666666664,16416.12,16437.14333333333,16636.02333333333,16907.55,16591.35,16318.31,116.0,17210.08,16736.00821158211
