Date,Open,High,Low,Close,change(att1)-1,change(att1)-2,change(att1)-3,moving_average(att1)-1,moving_average(att1)-2,moving_average(att1)-3,moving_average(att1)-4,att1-1,att1-2,att1-3,confidence(D),id,UD,pred,confidence(U)
12/03/2012,3473.37,3493.87,3467.61,3490.06,9.11999999999989,86.0300000000002,29.769999999999982,3452.7233333333334,3411.0833333333335,3414.1433333333334,3450.4233333333336,3487.48,3478.36,3392.33,0.5080626786846144,566.0,U,D,0.49193732131538565
13/03/2012,3508.59,3550.58,3508.59,3550.16,2.5799999999999272,9.11999999999989,86.0300000000002,3485.2999999999997,3452.7233333333334,3411.0833333333335,3414.1433333333334,3490.06,3487.48,3478.36,0.5140178403155314,567.0,U,D,0.4859821596844686
14/03/2012,3565.65,3585.98,3561.92,3564.51,60.09999999999991,2.5799999999999272,9.11999999999989,3509.2333333333336,3485.2999999999997,3452.7233333333334,3411.0833333333335,3550.16,3490.06,3487.48,0.5147898454410957,568.0,D,D,0.4852101545589041
15/03/2012,3559.1,3581.38,3554.45,3580.21,14.350000000000364,60.09999999999991,2.5799999999999272,3534.91,3509.2333333333336,3485.2999999999997,3452.7233333333334,3564.51,3550.16,3490.06,0.5032706544900268,569.0,U,D,0.4967293455099733
16/03/2012,3581.45,3600.48,3574.92,3594.83,15.699999999999818,14.350000000000364,60.09999999999991,3564.9600000000005,3534.91,3509.2333333333336,3485.2999999999997,3580.21,3564.51,3550.16,0.5132268749856606,570.0,U,D,0.4867731250143394
19/03/2012,3581.48,3581.48,3563.28,3577.88,14.61999999999989,15.699999999999818,14.350000000000364,3579.85,3564.9600000000005,3534.91,3509.2333333333336,3594.83,3580.21,3564.51,0.5033608725081402,571.0,D,D,0.49663912749185996
20/03/2012,3563.98,3566.37,3524.02,3530.83,-16.949999999999818,14.61999999999989,15.699999999999818,3584.306666666667,3579.85,3564.9600000000005,3534.91,3577.88,3594.83,3580.21,0.4941855137002579,572.0,D,U,0.5058144862997422
21/03/2012,3546.76,3565.3,3504.0,3527.37,-47.05000000000018,-16.949999999999818,14.61999999999989,3567.846666666667,3584.306666666667,3579.85,3564.9600000000005,3530.83,3577.88,3594.83,0.48315431508728557,573.0,D,U,0.5168456849127145
22/03/2012,3514.61,3518.59,3457.19,3472.46,-3.4600000000000364,-47.05000000000018,-16.949999999999818,3545.36,3567.846666666667,3584.306666666667,3579.85,3527.37,3530.83,3577.88,0.4871601987172576,574.0,D,U,0.5128398012827425
23/03/2012,3473.34,3490.9,3432.56,3476.18,-54.909999999999854,-3.4600000000000364,-47.05000000000018,3510.22,3545.36,3567.846666666667,3584.306666666667,3472.46,3527.37,3530.83,0.4689710259220702,575.0,U,U,0.5310289740779298
26/03/2012,3495.76,3509.55,3457.8,3501.98,3.7199999999998,-54.909999999999854,-3.4600000000000364,3492.0033333333336,3510.22,3545.36,3567.846666666667,3476.18,3472.46,3527.37,0.49104574676451657,576.0,U,U,0.5089542532354834
27/03/2012,3515.73,3535.6,3465.15,3469.59,25.800000000000182,3.7199999999998,-54.909999999999854,3483.5399999999995,3492.0033333333336,3510.22,3545.36,3501.98,3476.18,3472.46,0.4903609763414691,577.0,D,U,0.509639023658531
28/03/2012,3456.07,3484.65,3430.15,3430.15,-32.38999999999987,25.800000000000182,3.7199999999998,3482.5833333333335,3483.5399999999995,3492.0033333333336,3510.22,3469.59,3501.98,3476.18,0.48705875126415615,578.0,D,U,0.5129412487358438
29/03/2012,3426.08,3435.41,3374.69,3381.12,-39.440000000000055,-32.38999999999987,25.800000000000182,3467.24,3482.5833333333335,3483.5399999999995,3492.0033333333336,3430.15,3469.59,3501.98,0.48614928538536506,579.0,D,U,0.513850714614635
30/03/2012,3407.31,3430.32,3396.29,3423.81,-49.0300000000002,-39.440000000000055,-32.38999999999987,3426.9533333333334,3467.24,3482.5833333333335,3483.5399999999995,3381.12,3430.15,3469.59,0.4713082862141797,580.0,U,U,0.5286917137858204
02/04/2012,3439.17,3462.91,3397.98,3462.91,42.690000000000055,-49.0300000000002,-39.440000000000055,3411.693333333333,3426.9533333333334,3467.24,3482.5833333333335,3423.81,3381.12,3430.15,0.4949327728289932,581.0,U,U,0.5050672271710068
03/04/2012,3464.32,3473.2,3406.78,3406.78,39.09999999999991,42.690000000000055,-49.0300000000002,3422.6133333333332,3411.693333333333,3426.9533333333334,3467.24,3462.91,3423.81,3381.12,0.49748971818695914,582.0,D,U,0.5025102818130409
04/04/2012,3392.1,3395.34,3310.5,3313.47,-56.129999999999654,39.09999999999991,42.690000000000055,3431.1666666666665,3422.6133333333332,3411.693333333333,3426.9533333333334,3406.78,3462.91,3423.81,0.4889150814238937,583.0,D,U,0.5110849185761062
05/04/2012,3326.31,3338.77,3279.31,3319.81,-93.3100000000004,-56.129999999999654,39.09999999999991,3394.3866666666668,3431.1666666666665,3422.6133333333332,3411.693333333333,3313.47,3406.78,3462.91,0.472285490846066,584.0,D,U,0.527714509153934
10/04/2012,3274.85,3292.28,3217.6,3217.6,6.3400000000001455,-93.3100000000004,-56.129999999999654,3346.6866666666665,3394.3866666666668,3431.1666666666665,3422.6133333333332,3319.81,3313.47,3406.78,0.4785067201660463,585.0,D,U,0.5214932798339537
11/04/2012,3214.63,3270.91,3205.44,3237.69,-102.21000000000004,6.3400000000001455,-93.3100000000004,3283.6266666666666,3346.6866666666665,3394.3866666666668,3431.1666666666665,3217.6,3319.81,3313.47,0.4481215006542374,586.0,U,U,0.5518784993457626
12/04/2012,3248.22,3277.99,3209.83,3269.79,20.090000000000146,-102.21000000000004,6.3400000000001455,3258.366666666667,3283.6266666666666,3346.6866666666665,3394.3866666666668,3237.69,3217.6,3319.81,0.4935984037623841,587.0,U,U,0.5064015962376158
13/04/2012,3264.74,3267.54,3180.19,3189.09,32.09999999999991,20.090000000000146,-102.21000000000004,3241.693333333333,3258.366666666667,3283.6266666666666,3346.6866666666665,3269.79,3237.69,3217.6,0.482378677740537,588.0,D,U,0.517621322259463
16/04/2012,3183.19,3246.08,3182.52,3205.28,-80.69999999999982,32.09999999999991,20.090000000000146,3232.19,3241.693333333333,3258.366666666667,3283.6266666666666,3189.09,3269.79,3237.69,0.4761345370580803,589.0,U,U,0.5238654629419198
17/04/2012,3204.74,3292.51,3196.47,3292.51,16.190000000000055,-80.69999999999982,32.09999999999991,3221.3866666666668,3232.19,3241.693333333333,3258.366666666667,3205.28,3189.09,3269.79,0.4993729828620593,590.0,U,U,0.5006270171379407
18/04/2012,3277.07,3291.51,3226.33,3240.29,87.23000000000002,16.190000000000055,-80.69999999999982,3228.9600000000005,3221.3866666666668,3232.19,3241.693333333333,3292.51,3205.28,3189.09,0.5025738606215203,591.0,D,D,0.4974261393784797
19/04/2012,3252.94,3280.24,3174.02,3174.02,-52.220000000000255,87.23000000000002,16.190000000000055,3246.026666666667,3228.9600000000005,3221.3866666666668,3232.19,3240.29,3292.51,3205.28,0.4866984453121888,592.0,D,U,0.5133015546878112
20/04/2012,3177.94,3203.69,3155.36,3188.58,-66.26999999999998,-52.220000000000255,87.23000000000002,3235.6066666666666,3246.026666666667,3228.9600000000005,3221.3866666666668,3174.02,3240.29,3292.51,0.4890086683569462,593.0,U,U,0.5109913316430538
23/04/2012,3157.85,3157.85,3088.36,3098.37,14.559999999999945,-66.26999999999998,-52.220000000000255,3200.963333333333,3235.6066666666666,3246.026666666667,3228.9600000000005,3188.58,3174.02,3240.29,0.4827887464364163,594.0,D,U,0.5172112535635838
24/04/2012,3114.71,3176.66,3107.3,3169.32,-90.21000000000004,14.559999999999945,-66.26999999999998,3153.656666666667,3200.963333333333,3235.6066666666666,3246.026666666667,3098.37,3188.58,3174.02,0.456373516867071,595.0,U,U,0.543626483132929
25/04/2012,3177.22,3253.56,3174.02,3233.46,70.95000000000027,-90.21000000000004,14.559999999999945,3152.09,3153.656666666667,3200.963333333333,3235.6066666666666,3169.32,3098.37,3188.58,0.5104386770700758,596.0,U,D,0.48956132292992405
26/04/2012,3240.54,3256.93,3189.88,3229.32,64.13999999999987,70.95000000000027,-90.21000000000004,3167.0500000000006,3152.09,3153.656666666667,3200.963333333333,3233.46,3169.32,3098.37,0.49672197795964346,597.0,D,U,0.5032780220403564
27/04/2012,3195.41,3282.65,3172.8,3266.27,-4.139999999999873,64.13999999999987,70.95000000000027,3210.7000000000003,3167.0500000000006,3152.09,3153.656666666667,3229.32,3233.46,3169.32,0.5103819456470775,598.0,U,D,0.4896180543529225
30/04/2012,3270.78,3273.06,3209.31,3212.8,36.94999999999982,-4.139999999999873,64.13999999999987,3243.016666666667,3210.7000000000003,3167.0500000000006,3152.09,3266.27,3229.32,3233.46,0.5174704494985161,599.0,D,D,0.48252955050148383
02/05/2012,3265.12,3267.07,3208.42,3226.33,-53.4699999999998,36.94999999999982,-4.139999999999873,3236.1299999999997,3243.016666666667,3210.7000000000003,3167.0500000000006,3212.8,3266.27,3229.32,0.4798489822264232,600.0,D,U,0.520151017773577
03/05/2012,3242.45,3273.72,3207.54,3223.36,13.529999999999745,-53.4699999999998,36.94999999999982,3235.133333333333,3236.1299999999997,3243.016666666667,3210.7000000000003,3226.33,3212.8,3266.27,0.5015658634194252,601.0,D,D,0.4984341365805749
04/05/2012,3210.9,3229.42,3153.92,3161.97,-2.9699999999998,13.529999999999745,-53.4699999999998,3220.83,3235.133333333333,3236.1299999999997,3243.016666666667,3223.36,3226.33,3212.8,0.48225043942797,602.0,D,U,0.5177495605720299
07/05/2012,3112.47,3219.41,3104.49,3214.22,-61.39000000000033,-2.9699999999998,13.529999999999745,3203.8866666666668,3220.83,3235.133333333333,3236.1299999999997,3161.97,3223.36,3226.33,0.47820784605253996,603.0,U,U,0.52179215394746
